Date,Count
Apr-19,1200
May-19,1242
Jun-19,1228
Jul-19,1270
Aug-19,1256
Sep-19,1200
Oct-19,1284
Nov-19,1298
Dec-19,1256
Jan-20,1256
Feb-20,1298
Mar-20,1340
Apr-20,1353
May-20,1312
Jun-20,1284
Jul-20,1270
Aug-20,1228
Sep-20,1200
Oct-20,1144
Nov-20,1214
Dec-20,1186
Jan-21,1214
Feb-21,1200
Mar-21,1172
Apr-21,1214
May-21,1200
Jun-21,1298
Jul-21,1256
Aug-21,1242
Sep-21,1172
Oct-21,1172
Nov-21,1158
Dec-21,1172
Jan-22,1200
Feb-22,1158
Mar-22,1074
Apr-22,1033
May-22,1019
Jun-22,1005
Jul-22,1047
Aug-22,1102
Sep-22,1060
Oct-22,1116
Nov-22,1102
Dec-22,1214
Jan-23,1228
Feb-23,1256
Mar-23,1270
Apr-23,1242
May-23,1270
Jun-23,1340
Jul-23,1284
Aug-23,1381
Sep-23,1326
Oct-23,1326
Nov-23,1326
Dec-23,1451
Feb-24,1535
Mar-24,1591
Apr-24,1619
May-24,1688
Jun-24,1647
Jul-24,1633
Aug-24,1591
Sep-24,1591
